Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
batch shrink images,1,1,110,71,2.02,https://bulkresizephotos.com/en,27,0.36,54.00,0.22,1430000,"[42,42,34,42,26,42,34,53,65,42,26,42]",2025-08-19,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
resize batch images online,1,1,40,54,1.74,https://bulkresizephotos.com/en,9,0.12,15.00,0.05,3230000,"[18,18,18,18,18,18,18,18,100,100,18,100]",2025-08-30,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic
resize bulk images,1,1,480,61,2.71,https://bulkresizephotos.com/en,119,1.62,322.00,0.11,123000000,"[30,0,36,100,20,24,36,13,30,30,45,45]",2025-08-22,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
bluk resize,1,1,30,39,3.60,https://bulkresizephotos.com/en,7,0.09,25.00,0.03,82900000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2025-08-30,"Image pack, Sitelinks, Video, Related searches",informational,Organic
bulk resizer,1,1,480,63,3.60,https://bulkresizephotos.com/en,119,1.62,428.00,0.03,130000000,"[11,24,20,8,13,24,16,4,30,16,11,0]",2025-09-01,"Sitelinks, Video, Related searches",informational,Organic
batch resizer,1,1,50,56,2.73,https://bulkresizephotos.com/en,12,0.16,32.00,0.08,5560000,"[28,64,78,28,78,14,21,0,78,28,0,21]",2025-08-30,"Image pack, Sitelinks, Video, Related searches","informational, transactional",Organic
bulk resize images,1,1,720,62,2.87,https://bulkresizephotos.com/en,178,2.42,510.00,0.13,49400000,"[45,45,55,45,36,45,36,13,45,45,45,45]",2025-08-24,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
bulk photo resizer,1,1,1300,52,2.71,https://bulkresizephotos.com/en,322,4.39,872.00,0.11,1440000,"[79,41,54,79,41,66,30,54,79,24,41,66]",2025-08-31,"Sitelinks, Video, People also ask, Related searches",informational,Organic
batch reduce photo size,1,1,70,33,2.33,https://bulkresizephotos.com/en,9,0.12,20.00,0.11,84100000,"[41,41,29,41,29,41,41,64,41,52,52,41]",2025-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
bulk resize,1,1,1300,59,3.60,https://bulkresizephotos.com/en,322,4.39,1159.00,0.03,53800000,"[68,68,84,100,68,52,68,46,68,46,46,68]",2025-09-02,"Image pack, Sitelinks, Video, Related searches",informational,Organic
batch photo resizer,1,1,260,63,2.31,https://bulkresizephotos.com/en,64,0.87,147.00,0.19,1740000,"[66,82,100,66,53,53,53,53,66,66,82,66]",2025-08-27,"Sitelinks, Video, Image, Related searches",informational,Organic
bulk images resize,1,1,170,58,2.71,https://bulkresizephotos.com/en,42,0.57,113.00,0.11,301000000,"[39,0,0,100,0,0,48,39,0,0,0,0]",2025-08-20,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
bulk resize jpeg,1,1,30,64,2.57,https://bulkresizephotos.com/en,7,0.09,17.00,0.11,1590000,"[63,63,45,18,18,63,63,63,0,0,0,0]",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
mass resize,1,1,70,63,2.73,https://bulkresizephotos.com/en,17,0.23,46.00,0.08,243000000,"[77,77,55,100,55,77,55,77,100,100,100,55]",2025-08-24,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
