Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
how resize photo,1,1,170,34,0.93,https://www.canva.com/features/image-resizer/,0,0,0.00,0.43,732000000,"[1,1,1,1,1,10,16,30,30,30,3,1]",2025-08-15,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how to change the size of a picture in photoshop,1,1,90,38,0.85,https://www.canva.com/features/image-resizer/,3,0,2.00,0.03,74200000,"[66,42,42,42,42,52,52,33,33,42,66,33]",2025-08-11,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how to resize images in canva,1,1,140,35,0.00,https://www.canva.com/features/image-resizer/,112,0.24,0.00,0,17600000,"[34,53,53,53,3,6,43,21,12,0,100,100]",2025-08-14,"Video, Featured snippet, Related searches, Discussions and forums",informational,Organic
how to change dimensions of a photo,1,1,1300,64,1.12,https://www.canva.com/features/image-resizer/,45,0.09,50.00,0.41,848000000,"[65,55,24,65,3,55,65,24,34,82,55,20]",2025-08-30,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how to change dimensions of a photo,1,1,1300,64,1.12,https://www.canva.com/features/image-resizer/,6,0.01,6.00,0.41,848000000,"[65,55,24,65,3,55,65,24,34,82,55,20]",2025-08-30,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how do you make a picture bigger to print,1,1,40,26,1.27,https://www.canva.com/features/image-resizer/,2,0,2.00,0.28,61400000,"[11,11,11,64,11,64,11,11,11,11,64,11]",2025-08-19,"Image pack, Video, Related searches, AI overview",informational,AI overview
ps how to resize image,1,1,1000,36,0.93,https://www.canva.com/features/image-resizer/,22,0.04,20.00,0.02,17800000,"[20,2,5,3,2,8,4,43,54,65,43,36]",2025-08-30,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how to resize a picture,1,1,1000,46,0.94,https://www.canva.com/features/image-resizer/,5,0.01,4.00,0.47,429000000,"[100,100,52,68,46,37,37,31,46,37,46,37]",2025-08-29,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
android resize image to specific size,1,1,40,33,0.76,https://www.canva.com/features/image-resizer/,2,0,1.00,0.24,99200000,"[29,29,29,29,23,29,11,11,11,11,11,11]",2025-08-14,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how to resize a photo to fit whatsapp,1,1,40,21,0.00,https://www.canva.com/features/image-resizer/,0,0,0.00,0,30100000,"[23,11,11,41,100,11,11,0,11,11,11,11]",2025-08-10,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how to change an image size in photoshop,1,1,210,36,1.40,https://www.canva.com/features/image-resizer/,1,0,1.00,0.04,98900000,"[28,28,23,28,23,35,35,44,44,44,66,35]",2025-08-25,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to rezise image,1,1,90,70,1.05,https://www.canva.com/features/image-resizer/,3,0,3.00,0.26,792000000,"[0,81,0,0,0,0,0,0,0,100,0,0]",2025-08-19,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how to resize pixels of an image,1,1,90,37,0.89,https://www.canva.com/features/image-resizer/,1,0,0.00,0.26,27100000,"[63,81,81,63,100,100,100,63,81,81,81,63]",2025-08-16,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how to zoom out a photo,1,1,110,27,0.83,https://www.canva.com/features/image-resizer/,3,0,2.00,0.35,659000000,"[52,82,64,64,52,82,100,52,64,64,64,64]",2025-08-17,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
photoshop change size of image,1,1,110,38,1.91,https://www.canva.com/features/image-resizer/,0,0,0.00,0.04,44900000,"[35,22,10,10,14,29,43,29,35,2,35,0]",2025-08-16,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,People also ask
adjust the size of an image,1,1,390,83,0.87,https://www.canva.com/features/image-resizer/,15,0.03,13.00,0.1,601000000,"[3,2,2,3,2,3,3,0,0,0,0,100]",2025-08-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",People also ask
how to resize jpeg pictures,1,1,70,43,1.26,https://www.canva.com/features/image-resizer/,2,0,2.00,0.31,59900000,"[81,81,63,63,45,63,45,63,63,63,63,63]",2025-08-26,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,AI overview
free image resize app,1,1,50,54,0.78,https://www.canva.com/features/image-resizer/,1,0,0.00,0.67,377000000,"[14,35,64,100,50,14,14,14,100,28,14,0]",2025-08-13,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
free image resize app,1,1,50,54,0.78,https://www.canva.com/features/image-resizer/,0,0,0.00,0.67,377000000,"[14,35,64,100,50,14,14,14,100,28,14,0]",2025-08-13,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
resize image in canva,1,1,260,33,0.00,https://www.canva.com/features/image-resizer/,208,0.44,0.00,0,17500000,"[53,53,53,66,43,53,82,66,53,66,66,66]",2025-08-08,"Image pack, Video, Related searches",informational,Organic
how to make photo 600x600,1,1,30,17,1.22,https://www.canva.com/features/image-resizer/,0,0,0.00,0.6,190000000,"[9,9,9,52,9,9,9,9,9,9,9,9]",2025-08-27,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
how to make the dimensions of a picture smaller,1,1,320,51,0.97,https://www.canva.com/features/image-resizer/,13,0.02,12.00,0.37,116000000,"[54,54,44,54,28,35,28,44,35,81,100,100]",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to increase the image size dimensions in photoshop,1,1,170,42,0.00,https://www.canva.com/features/image-resizer/,1,0,0.00,0,12600000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
easy way to resize pictures,1,1,50,54,1.33,https://www.canva.com/features/image-resizer/,0,0,0.00,0.35,73500000,"[71,71,71,100,71,71,71,100,42,100,100,100]",2025-08-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how do i shrink photo size,1,1,140,56,0.89,https://www.canva.com/features/image-resizer/,8,0.01,7.00,0.23,33600000,"[53,34,26,53,34,53,42,53,34,42,100,100]",2025-08-26,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,AI overview
application to resize pictures,1,1,590,63,0.99,https://www.canva.com/features/image-resizer/,19,0.04,18.00,0.36,189000000,"[39,48,39,72,32,88,17,72,59,59,88,100]",2025-08-19,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,People also ask
resize my photos,1,1,40,73,0.78,https://www.canva.com/features/image-resizer/,0,0,0.00,0.18,371000000,"[33,0,9,0,23,100,42,0,0,0,0,0]",2025-08-15,"Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how to transform an image in canva,1,1,40,31,0.00,https://www.canva.com/features/image-resizer/,0,0,0.00,0,21500000,"[0,14,28,14,14,78,14,14,64,100,14,14]",2025-08-18,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
resize image on canva,1,1,70,29,0.00,https://www.canva.com/features/image-resizer/,56,0.12,0.00,0,13600000,"[19,19,26,19,26,7,7,80,7,7,7,100]",2025-08-06,"Image pack, Video, Related searches","informational, transactional",Organic
resize image app iphone,1,1,140,43,1.38,https://www.canva.com/features/image-resizer/,0,0,0.00,0.03,36100000,"[3,3,3,3,18,18,28,15,6,15,100,66]",2025-08-15,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview","informational, transactional",AI overview
easy picture resizer,1,1,30,71,1.62,https://www.canva.com/features/image-resizer/,0,0,0.00,0.21,1630000,"[9,27,9,18,36,27,36,36,9,27,45,36]",2025-08-22,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
how can i resize my pictures,1,1,50,68,0.96,https://www.canva.com/features/image-resizer/,0,0,0.00,0.58,106000000,"[19,19,19,19,15,26,7,42,11,19,26,26]",2025-08-11,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
resize a photo for facebook profile,1,1,40,25,0.86,https://www.canva.com/features/image-resizer/,0,0,0.00,0.31,165000000,"[45,36,18,27,0,63,63,9,63,63,45,36]",2025-08-27,"Image pack, Sitelinks, Video, Ads top, Related searches, AI overview",informational,AI overview
change the dimension of a jpeg file,1,1,50,47,1.42,https://www.canva.com/features/image-resizer/,1,0,1.00,0.1,35600000,"[55,55,55,55,55,55,22,77,33,77,77,77]",2025-08-30,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
resize photo for facebook profile,1,1,390,30,0.86,https://www.canva.com/features/image-resizer/,7,0.01,6.00,0.31,122000000,"[29,29,29,36,36,100,100,54,66,54,66,66]",2025-09-02,"Image pack, Video, Related searches, AI overview",informational,AI overview
how to reduce size of pictures,1,1,50,48,0.98,https://www.canva.com/features/image-resizer/,1,0,0.00,0.23,751000000,"[81,27,18,36,45,27,36,45,9,100,63,36]",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how to edit the pixel size of a picture,1,1,390,30,1.24,https://www.canva.com/features/image-resizer/,23,0.04,28.00,0.42,29200000,"[100,81,54,100,18,35,35,54,35,81,100,23]",2025-08-17,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
resize picture on iphone,1,1,590,40,0.83,https://www.canva.com/features/image-resizer/,19,0.04,15.00,0.18,66800000,"[24,13,45,20,30,100,36,45,45,13,30,20]",2025-08-24,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how do i increase the size of a picture,1,1,110,53,1.08,https://www.canva.com/features/image-resizer/,0,0,0.00,0.33,691000000,"[7,12,2,66,12,0,43,17,28,5,82,82]",2025-08-19,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
how to change resolution of image online,1,1,40,68,1.26,https://www.canva.com/features/image-resizer/,0,0,0.00,0.37,830000000,"[29,29,29,23,29,41,11,11,11,11,11,11]",2025-08-19,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
instagram resize photos,1,1,110,53,0.90,https://www.canva.com/features/image-resizer/,0,0,0.00,0.28,156000000,"[5,7,4,3,100,2,7,0,15,0,0,0]",2025-08-23,"Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how do i resize a picture,1,1,110,33,0.94,https://www.canva.com/features/image-resizer/,7,0.01,6.00,0.47,451000000,"[100,7,17,17,100,23,28,0,7,0,7,0]",2025-08-22,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
resizing file size of images,1,1,70,75,0.97,https://www.canva.com/features/image-resizer/,0,0,0.00,0.06,502000000,"[78,64,35,50,35,35,35,50,21,50,50,50]",2025-08-23,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,AI overview
how to size photos,1,1,30,56,1.05,https://www.canva.com/features/image-resizer/,0,0,0.00,0.34,3020000000,"[18,18,100,18,18,63,18,18,18,18,63,18]",2025-08-29,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how to resize the photo,1,1,320,41,1.05,https://www.canva.com/features/image-resizer/,11,0.02,11.00,0.26,768000000,"[16,7,5,16,0,8,5,54,4,16,13,2]",2025-08-09,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how can i change the size of a picture,1,1,1000,71,1.12,https://www.canva.com/features/image-resizer/,66,0.14,73.00,0.41,2450000000,"[44,34,20,24,11,11,7,20,55,100,65,65]",2025-08-31,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
how to resize a jpeg photo,1,1,170,43,0.97,https://www.canva.com/features/image-resizer/,5,0.01,4.00,0.22,94100000,"[80,80,66,80,100,100,80,80,100,100,80,66]",2025-08-26,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how to change size,1,1,50,49,0.00,https://www.canva.com/features/image-resizer/,0,0,0.00,0,4330000000,"[18,18,18,18,18,100,63,63,63,81,81,63]",2025-08-18,"Image pack, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
resize photo for facebook profile picture,1,1,30,26,0.71,https://www.canva.com/features/image-resizer/,0,0,0.00,0.35,60000000,"[2,1,1,2,1,1,1,1,1,1,1,1]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
resize photo for facebook profile picture,1,1,30,26,0.71,https://www.canva.com/features/image-resizer/,0,0,0.00,0.35,60000000,"[2,1,1,2,1,1,1,1,1,1,1,1]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
600 x 300 px,1,1,110,39,0.00,https://www.canva.com/features/image-resizer/,7,0.01,0.00,0,87300000,"[0,6,6,34,34,34,34,34,21,43,100,100]",2025-08-16,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
how to make profile picture smaller on facebook,1,1,30,39,0.88,https://www.canva.com/features/image-resizer/,0,0,0.00,0.49,138000000,"[52,52,9,9,9,9,9,9,9,9,9,9]",2025-08-26,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
resize in paint,1,1,90,16,0.00,https://www.canva.com/features/image-resizer/,2,0,0.00,0,88300000,"[11,11,64,64,11,64,64,64,64,52,52,41]",2025-08-14,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how do i resize an image,1,1,3600,37,1.05,https://www.canva.com/features/image-resizer/,18,0.03,18.00,0.26,757000000,"[44,23,44,100,66,44,7,35,54,54,81,54]",2025-08-29,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
canva photo resizer,1,1,110,36,0.00,https://www.canva.com/features/image-resizer/,88,0.18,0.00,0,457000,"[2,2,2,2,2,2,2,2,2,2,2,100]",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
how to resize a image,1,1,110,37,1.05,https://www.canva.com/features/image-resizer/,0,0,0.00,0.26,875000000,"[81,11,3,15,18,11,54,5,23,0,0,5]",2025-08-12,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how do i resize my pictures,1,1,50,49,0.96,https://www.canva.com/features/image-resizer/,3,0,2.00,0.58,874000000,"[19,19,19,15,11,19,7,42,11,19,26,26]",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
how do i make a photo larger,1,1,40,29,0.80,https://www.canva.com/features/image-resizer/,2,0,1.00,0.4,455000000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-08-07,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
